day,date,hospitalized,icu,ventilated
-17,2020-10-20,NA,NA,NA
-16,2020-10-21,0.390936482,0.156374593,0.078187296
-15,2020-10-22,0.90671302,0.362685208,0.181342604
-14,2020-10-23,1.5871409,0.63485636,0.31742818
-13,2020-10-24,2.4846867,0.99387468,0.49693734
-12,2020-10-25,3.66846521,1.467386084,0.733693042
-11,2020-10-26,5.22946998,2.091787992,1.045893996
-10,2020-10-27,7.287408598,2.914963439,1.45748172
-9,2020-10-28,9.608669857,3.999842536,1.999921268
-8,2020-10-29,12.66584116,5.429021673,2.714510837
-7,2020-10-30,16.68965885,7.154345307,3.65535995
-6,2020-10-31,21.98131133,9.423714003,4.815012309
-5,2020-11-01,28.93255647,12.40555231,6.338861732
-4,2020-11-02,38.05054891,16.31813288,8.338575598
-3,2020-11-03,49.98768467,21.44265122,10.95808131
-2,2020-11-04,65.57607703,28.13848536,14.38144363
-1,2020-11-05,85.86489375,36.86001574,18.84159559
0,2020-11-06,112.1562794,48.17338914,24.62913412
1,2020-11-07,125.9992325,54.75707053,28.09312484
2,2020-11-08,140.0547875,61.75160378,31.816651
3,2020-11-09,153.9086425,69.08906534,35.78237233
4,2020-11-10,166.9764267,76.66019933,39.95710439
5,2020-11-11,178.4572764,84.30117633,44.28638761
6,2020-11-12,187.2811178,91.77738899,48.68770937
7,2020-11-13,192.0531834,98.76423167,53.04223386
8,2020-11-14,211.0355545,104.8253348,57.18502033
9,2020-11-15,231.2515149,109.389698,60.89397523
10,2020-11-16,252.6357853,119.7436864,63.87827349
11,2020-11-17,275.084952,130.6722651,69.77424829
12,2020-11-18,298.4526214,142.1187679,75.96595438
13,2020-11-19,322.5454707,154.0050066,82.41507501
14,2020-11-20,347.1207231,166.2296104,89.07109313
15,2020-11-21,371.8856147,178.6671336,95.87068799
16,2020-11-22,396.499416,191.168191,102.7376349
17,2020-11-23,420.5784939,203.5608622,109.5833356
18,2020-11-24,443.7047428,215.6535563,116.308086
19,2020-11-25,465.4374759,227.2394441,122.8031466
20,2020-11-26,485.3285454,238.1024439,128.953627
21,2020-11-27,502.9400982,248.0246011,134.6421224
22,2020-11-28,517.8639959,256.7945437,139.7529629
23,2020-11-29,529.741603,264.216543,144.1768613
24,2020-11-30,538.2824234,270.1195857,147.8156757
25,2020-12-01,543.2800044,274.3657917,150.5869639
26,2020-12-02,544.6236525,276.8575076,152.4279939
27,2020-12-03,542.3048217,277.5424755,153.2988926
28,2020-12-04,536.417519,276.4166183,153.1846776
29,2020-12-05,527.1526485,273.5241849,152.0959974
30,2020-12-06,514.7868141,268.9552294,150.0685151
31,2020-12-07,499.6666344,262.8406411,147.1609829
32,2020-12-08,482.1900039,255.345152,143.4521655
33,2020-12-09,462.7859368,246.6589129,139.0368606
34,2020-12-10,441.8946137,236.9883192,134.0213307
35,2020-12-11,419.9490599,226.5467813,128.5184887
36,2020-12-12,397.3595495,215.546076,122.6431768
37,2020-12-13,374.501426,204.1887922,116.507836
38,2020-12-14,351.7066164,192.6622283,110.2188024
39,2020-12-15,329.2587473,181.1339253,103.8733853
40,2020-12-16,307.3914923,169.7488561,97.55779625
41,2020-12-17,286.2895927,158.6281547,91.34592232
42,2020-12-18,266.0919125,147.8691716,85.29887041
43,2020-12-19,246.8958816,137.5465832,79.46516578
44,2020-12-20,228.7627456,127.7142665,73.88146234
45,2020-12-21,211.7231289,118.40766,68.57361618
46,2020-12-22,195.7825341,109.6463685,63.5579822
47,2020-12-23,180.9265076,101.4368126,58.84281256
48,2020-12-24,167.1253003,93.77477592,54.42965911
49,2020-12-25,154.3379354,86.64774883,50.31470803
50,2020-12-26,142.5156546,80.03700793,46.48999825
51,2020-12-27,131.6047615,73.91940609,42.9444961
52,2020-12-28,121.5489067,68.26887006,39.66501502
53,2020-12-29,112.290877,63.05762107,36.63698129
54,2020-12-30,103.7739571,58.25714384,33.84505486
55,2020-12-31,95.94293177,53.83893499,31.27361968
56,2021-01-01,88.744794,49.7750634,28.90716001
57,2021-01-02,82.12921624,46.0385743,26.73053998
58,2021-01-03,76.04883583,42.60376626,24.7292032
59,2021-01-04,70.45939733,39.44636715,22.88930741
60,2021-01-05,65.31978726,36.54363137,21.19780782
61,2021-01-06,60.59199013,33.87437721,19.64250058
62,2021-01-07,56.24098881,31.4189797,18.2120361
63,2021-01-08,52.23462725,29.15933146,16.89591005
64,2021-01-09,48.54344964,27.07878145,15.68443849
65,2021-01-10,45.14052642,25.16205923,14.56872213
66,2021-01-11,42.00127522,23.39519074,13.54060365
67,2021-01-12,39.1032822,21.76540992,12.59262101
68,2021-01-13,36.42612802,20.26106948,11.71795902
69,2021-01-14,33.95122106,18.87155322,10.91040085
70,2021-01-15,31.66163969,17.58719128,10.16428054
71,2021-01-16,29.5419845,16.39917972,9.474437362
72,2021-01-17,27.57824109,15.29950476,8.836172586
73,2021-01-18,25.75765335,14.28087222,8.245208871
74,2021-01-19,24.06860708,13.33664218,7.697652496
75,2021-01-20,22.50052353,12.46076881,7.189958441
76,2021-01-21,21.04376234,11.64774528,6.718898276
77,2021-01-22,19.68953331,10.8925534,6.281530761
78,2021-01-23,18.42981629,10.19061781,5.875175016
79,2021-01-24,17.25728868,9.537764363,5.497386111
80,2021-01-25,16.16525987,8.930182372,5.145932906
81,2021-01-26,15.14761187,8.364390492,4.81877797
82,2021-01-27,14.19874589,7.837205824,4.5140594
83,2021-01-28,13.31353395,7.345716028,4.230074397
84,2021-01-29,12.4872754,6.887254148,3.965264425
85,2021-01-30,11.71565751,6.459375881,3.718201812
86,2021-01-31,10.99472011,6.059839085,3.487577665
87,2021-02-01,10.32082356,5.686585281,3.272190956
88,2021-02-02,9.690619885,5.337722972,3.07093869
89,2021-02-03,9.101026767,5.011512583,2.882807017
90,2021-02-04,8.54920399,4.706352876,2.706863222
91,2021-02-05,8.032532207,4.420768676,2.542248492
92,2021-02-06,7.548593722,4.153399788,2.38817138
93,2021-02-07,7.095155126,3.902990976,2.243901899
94,2021-02-08,6.67015156,3.6683829,2.108766189
95,2021-02-09,6.271672481,3.448503919,1.982141684
96,2021-02-10,5.897948744,3.242362657,1.863452743
97,2021-02-11,5.547340892,3.049041279,1.752166689
98,2021-02-12,5.218328521,2.867689378,1.647790219
99,2021-02-13,4.909500615,2.697518438,1.549866149
100,2021-02-14,4.61954676,2.537796797,1.457970453
